Label,Jumlah_Entitas,Entitas_Unik,Persentase_%
GPE,2583,210,32.28
PER,2110,574,26.37
NOR,1764,658,22.04
ORG,551,350,6.88
PRD,276,169,3.45
LOC,177,135,2.21
EVT,176,137,2.2
REG,141,51,1.76
DAT,83,14,1.04
CRD,35,7,0.44
MON,33,20,0.41
LAW,23,15,0.29
FAC,20,17,0.25
QTY,11,7,0.14
ORD,8,2,0.1
WOA,5,4,0.06
PRC,4,2,0.05
TIM,2,2,0.02
LAN,1,1,0.01
