term,avg_tfidf,pos_tag,pos_label
news,0.04576874147129931,PROPN,Nama Diri
februari,0.04407698740917713,PROPN,Nama Diri
with,0.0349436691053137,PROPN,Nama Diri
continue,0.03197834190738229,PROPN,Nama Diri
islam,0.030741014466987383,PROPN,Nama Diri
content,0.030115399938116218,PROPN,Nama Diri
the,0.028522727956479744,PROPN,Nama Diri
china,0.028209512381506437,PROPN,Nama Diri
truth,0.02814028063752184,PROPN,Nama Diri
saudi,0.02807651535065928,PROPN,Nama Diri
fars,0.027362875466103605,PROPN,Nama Diri
jakarta,0.02546991664476392,PROPN,Nama Diri
anadolu,0.02500986390157887,PROPN,Nama Diri
washington,0.02491849073778893,PROPN,Nama Diri
social,0.02176941402649509,PROPN,Nama Diri
aviv,0.021336795978958656,PROPN,Nama Diri
rusia,0.02085898627191114,PROPN,Nama Diri
mojtaba,0.020150685634867962,PROPN,Nama Diri
york,0.0183013271850169,PROPN,Nama Diri
new,0.01649813736088125,PROPN,Nama Diri
agency,0.0158840522597671,PROPN,Nama Diri
international,0.0149121733670292,PROPN,Nama Diri
april,0.014642646783731027,PROPN,Nama Diri
provinsi,0.012948686022513273,PROPN,Nama Diri
times,0.012209582972423078,PROPN,Nama Diri
mohammad,0.012164991887779425,PROPN,Nama Diri
irgc,0.011734639662578532,PROPN,Nama Diri
via,0.011477211099100399,PROPN,Nama Diri
fury,0.01118068697051836,PROPN,Nama Diri
allah,0.010845753563331078,PROPN,Nama Diri
putri,0.01056753950112885,PROPN,Nama Diri
basij,0.010502078686501846,PROPN,Nama Diri
asia,0.009493949552078246,PROPN,Nama Diri
epic,0.009356717332374908,PROPN,Nama Diri
wicaksono,0.008993688026524132,PROPN,Nama Diri
persia,0.00853644004157603,PROPN,Nama Diri
inggris,0.008507919665695907,PROPN,Nama Diri
qom,0.008324462890843343,PROPN,Nama Diri
bbc,0.008252509479174913,PROPN,Nama Diri
santoso,0.008229883061960357,PROPN,Nama Diri
nabi,0.008223663583552155,PROPN,Nama Diri
muhammad,0.007968444323769483,PROPN,Nama Diri
vladimir,0.007926284122216146,PROPN,Nama Diri
pahlavi,0.007919497941050674,PROPN,Nama Diri
islamic,0.007896725294571106,PROPN,Nama Diri
prancis,0.007664416957917471,PROPN,Nama Diri
tasnim,0.0075192062778966185,PROPN,Nama Diri
netanyahu,0.007454365161286942,PROPN,Nama Diri
experts,0.007319810287224591,PROPN,Nama Diri
grand,0.007119069736962621,PROPN,Nama Diri
palestina,0.006862515574419473,PROPN,Nama Diri
iya,0.006763503050808359,PROPN,Nama Diri
maret,0.006746430047205342,PROPN,Nama Diri
ayatol,0.006571849475665081,PROPN,Nama Diri
assembly,0.006501501395651712,PROPN,Nama Diri
fox,0.00645764413168905,PROPN,Nama Diri
yordania,0.00637758657445054,PROPN,Nama Diri
masoud,0.00636516461951539,PROPN,Nama Diri
perancis,0.006294226597834998,PROPN,Nama Diri
riyadh,0.006124645040069513,PROPN,Nama Diri
korea,0.00609593535658653,PROPN,Nama Diri
australia,0.006089956047285449,PROPN,Nama Diri
karachi,0.006076947848319783,PROPN,Nama Diri
download,0.005986134282752516,PROPN,Nama Diri
jerman,0.005929271773933955,PROPN,Nama Diri
gaza,0.0059093153260302254,PROPN,Nama Diri
facto,0.005871554624480343,PROPN,Nama Diri
malaysia,0.005848271787445096,PROPN,Nama Diri
uni,0.005830730118691744,PROPN,Nama Diri
januari,0.005723676240660376,PROPN,Nama Diri
pakistan,0.0056771643366362035,PROPN,Nama Diri
jepang,0.00567407483240145,PROPN,Nama Diri
mehr,0.005592760109309166,PROPN,Nama Diri
katz,0.005519063789318669,PROPN,Nama Diri
venezuela,0.005510303998844962,PROPN,Nama Diri
yunianto,0.005479428710808459,PROPN,Nama Diri
arab,0.005426182227014479,PROPN,Nama Diri
eropa,0.005317587016340652,PROPN,Nama Diri
saw,0.005315195156687031,PROPN,Nama Diri
bin,0.005222644083741249,PROPN,Nama Diri
east,0.005214070629121656,PROPN,Nama Diri
turki,0.005127606748812427,PROPN,Nama Diri
presiden,0.005084353303894453,PROPN,Nama Diri
beijing,0.004882531621388761,PROPN,Nama Diri
qatar,0.004847941488210407,PROPN,Nama Diri
republic,0.004742362265546209,PROPN,Nama Diri
oktober,0.004695087690686481,PROPN,Nama Diri
hive,0.004693929944558066,PROPN,Nama Diri
advertisement,0.004641324026234011,PROPN,Nama Diri
araghchi,0.0045610109609833804,PROPN,Nama Diri
tewas,0.0984836761053918,VERB,Kata Kerja
memiliki,0.05329866743718881,VERB,Kata Kerja
mengambil,0.05095850514021037,VERB,Kata Kerja
melancarkan,0.046505457872293016,VERB,Kata Kerja
meninggal,0.045616211007945925,VERB,Kata Kerja
tertulis,0.04302770861888527,VERB,Kata Kerja
menewaskan,0.0427700509270564,VERB,Kata Kerja
mengumumkan,0.04206835832543093,VERB,Kata Kerja
dilarang,0.041541850323373694,VERB,Kata Kerja
melaporkan,0.04131838352197672,VERB,Kata Kerja
terkait,0.04108398068354262,VERB,Kata Kerja
menyerang,0.03860417496792078,VERB,Kata Kerja
memicu,0.03858910561116318,VERB,Kata Kerja
