Judul,Penerbit,Link,Tanggal Published
"Ali Khamenei Serukan Muslim Bersatu, Abaikan Pertentangan Sunni-Syiah",CNN,https://www.cnnindonesia.com/internasional/20250625162113-120-1243783/ali-khamenei-serukan-muslim-bersatu-abaikan-pertentangan-sunni-syiah,11 Juli 2025
Israel Kembali Bombardir Teheran Iran usai Pidato Ali Khamenei,CNN,https://www.cnnindonesia.com/internasional/20250618200938-120-1241225/israel-kembali-bombardir-teheran-iran-usai-pidato-ali-khamenei,11 Juni 2025
"AS Serang Iran, Ini Prediksi Pakar soal Respons Ali Khamenei",CNN,https://www.cnnindonesia.com/internasional/20250622091650-120-1242393/as-serang-iran-ini-prediksi-pakar-soal-respons-ali-khamenei,11 Juni 2025
"Perang Israel vs Iran, di Mana Keberadaan Ayatollah Ali Khamenei?",CNN,https://www.cnnindonesia.com/internasional/20250616071256-120-1240052/perang-israel-vs-iran-di-mana-keberadaan-ayatollah-ali-khamenei,11 Juni 2025
Trump Klaim Selamatkan Khamenei dari Kematian Memalukan Dibunuh Israel,CNN,https://www.cnnindonesia.com/internasional/20250628052235-134-1244558/trump-klaim-selamatkan-khamenei-dari-kematian-memalukan-dibunuh-israel,11 Juli 2025
5 Fakta Misteri Kematian Aktris Pakistan Humaira Asghar Ali,CNN,https://www.cnnindonesia.com/hiburan/20250711154811-234-1249666/5-fakta-misteri-kematian-aktris-pakistan-humaira-asghar-ali,11 Juli 2025
Hampir Separuh Anggota DPR Absen di Paripurna Jelang Lebaran,CNN,https://www.cnnindonesia.com/nasional/20260310105918-32-1336251/hampir-separuh-anggota-dpr-absen-di-paripurna-jelang-lebaran,10 Maret 2026
"Macron Sindir Trump, Rezim Iran Tak Bisa Digulingkan Cuma Pakai Bom",CNN,https://www.cnnindonesia.com/internasional/20260310103436-134-1336236/macron-sindir-trump-rezim-iran-tak-bisa-digulingkan-cuma-pakai-bom,10 Maret 2026
Ali Khamenei Anggap Israel Sudah 'Game Over' jika AS Tak Ikut Campur,CNN,https://www.cnnindonesia.com/internasional/20250626184532-120-1244264/ali-khamenei-anggap-israel-sudah-game-over-jika-as-tak-ikut-campur,11 Juli 2025
Israel Ancam Bunuh Siapapun Pengganti Ali Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260304161927-120-1334325/israel-ancam-bunuh-siapapun-pengganti-ali-khamenei,05 Maret 2026
"Ini Pengalaman Perang Mojtaba Khamenei, Sempat Terluka Bela Iran",CNN,https://www.cnnindonesia.com/internasional/20260309142334-120-1335945/ini-pengalaman-perang-mojtaba-khamenei-sempat-terluka-bela-iran,10 Maret 2026
Kontroversi Mojtaba Khamenei Jadi Pemimpin Iran Tanpa Gelar Ayatollah,CNN,https://www.cnnindonesia.com/internasional/20260309122829-120-1335874/kontroversi-mojtaba-khamenei-jadi-pemimpin-iran-tanpa-gelar-ayatollah,10 Maret 2026
"Mojtaba Khamenei Jadi Pemimpin Iran usai Ayah, Ibu, Istri Dibunuh AS",CNN,https://www.cnnindonesia.com/internasional/20260309105833-120-1335829/mojtaba-khamenei-jadi-pemimpin-iran-usai-ayah-ibu-istri-dibunuh-as,10 Maret 2026
Trump Gak Senang dan Irit Bicara usai Iran Pilih Mojtaba Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260309102625-120-1335805/trump-gak-senang-dan-irit-bicara-usai-iran-pilih-mojtaba-khamenei,10 Maret 2026
Presiden Iran soal Mojtaba Pemimpin Tertinggi: Tandai Kekuatan Baru,CNN,https://www.cnnindonesia.com/internasional/20260309102753-120-1335806/presiden-iran-soal-mojtaba-pemimpin-tertinggi-tandai-kekuatan-baru,16 Jun 2025
"Anak Khamenei Jadi Pemimpin, Iran Dicap Sukses Bikin Malu AS-Israel",CNN,https://www.cnnindonesia.com/internasional/20260309082503-120-1335757/anak-khamenei-jadi-pemimpin-iran-dicap-sukses-bikin-malu-as-israel,18 Jun 2025
China Minta Negara Lain Jangan Ganggu Iran,CNN,https://www.cnnindonesia.com/internasional/20260309155930-113-1335998/china-minta-negara-lain-jangan-ganggu-iran,17 Jun 2025
IRGC Iran Respons Klaim Trump: Perang Selesai Tergantung Kami!,CNN,https://www.cnnindonesia.com/internasional/20260310084948-120-1336191/irgc-iran-respons-klaim-trump-perang-selesai-tergantung-kami,10 Maret 2026
Garda Revolusi Bersumpah Setia ke Mojtaba Pemimpin Tertinggi Baru Iran,CNN,https://www.cnnindonesia.com/internasional/20260309051649-120-1335710/garda-revolusi-bersumpah-setia-ke-mojtaba-pemimpin-tertinggi-baru-iran,06 Jul 2025
"Sosok Mojtaba Khamenei, Pemimpin Tertinggi Iran Baru Target AS-Israel",CNN,https://www.cnnindonesia.com/internasional/20260309054846-120-1335716/sosok-mojtaba-khamenei-pemimpin-tertinggi-iran-baru-target-as-israel,16 Jun 2025
Puan Pidato di DPR: Konflik Timur Tengah Potensi Ganggu Ekonomi RI,CNN,https://www.cnnindonesia.com/nasional/20260310110948-32-1336256/puan-pidato-di-dpr-konflik-timur-tengah-potensi-ganggu-ekonomi-ri,16 Jun 2025
Iran Punya Pemimpin Tertinggi Baru sampai Jadi Target Israel,CNN,https://www.cnnindonesia.com/internasional/20260309061745-120-1335724/iran-punya-pemimpin-tertinggi-baru-sampai-jadi-target-israel,17 Jun 2025
Respons China soal Pemimpin Tertinggi Baru Iran Mojtaba Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260309150130-113-1335975/respons-china-soal-pemimpin-tertinggi-baru-iran-mojtaba-khamenei,19 Jun 2025
Mojtaba Khamenei Akan Dilantik Jadi Pemimpin Baru Iran Hari Ini,CNN,https://www.cnnindonesia.com/internasional/20260309180613-120-1336070/mojtaba-khamenei-akan-dilantik-jadi-pemimpin-baru-iran-hari-ini,17 Jun 2025
"RI Serukan AS, Israel, & Iran Hentikan Saling Serang",CNN,https://www.cnnindonesia.com/internasional/20260309175602-106-1336066/ri-serukan-as-israel-iran-hentikan-saling-serang,17 Jun 2025
"Dewan Ulama Hampir Rampung Pilih Penerus Khamenei, Israel Beri Ancaman",CNN,https://www.cnnindonesia.com/internasional/20260308180301-120-1335653/dewan-ulama-hampir-rampung-pilih-penerus-khamenei-israel-beri-ancaman,09 Maret 2026
"Putra Khamenei Jadi Pemimpin Tertinggi Iran Baru, Apa Kata AS-Israel?",CNN,https://www.cnnindonesia.com/internasional/20260309070451-120-1335735/putra-khamenei-jadi-pemimpin-tertinggi-iran-baru-apa-kata-as-israel,09 Maret 2026
"Mojtaba Khamenei, Ulama Pemimpin Tertinggi Iran Berharta Rp3 T Lebih",CNN,https://www.cnnindonesia.com/internasional/20260309100417-120-1335800/mojtaba-khamenei-ulama-pemimpin-tertinggi-iran-berharta-rp3-t-lebih,09 Maret 2026
"Rayakan Pemimpin Tertinggi Baru, Iran Tembak Rentetan Rudal ke Israel",CNN,https://www.cnnindonesia.com/internasional/20260309081427-120-1335751/rayakan-pemimpin-tertinggi-baru-iran-tembak-rentetan-rudal-ke-israel,09 Maret 2026
Trump soal Kemungkinan Akhiri Perang: Keputusan Bersama Netanyahu,CNN,https://www.cnnindonesia.com/internasional/20260309153408-120-1335989/trump-soal-kemungkinan-akhiri-perang-keputusan-bersama-netanyahu,09 Maret 2026
Putin Dukung Mojtaba Khamenei yang Terpilih Jadi Pemimpin Baru Iran,CNN,https://www.cnnindonesia.com/internasional/20260309182354-134-1336074/putin-dukung-mojtaba-khamenei-yang-terpilih-jadi-pemimpin-baru-iran,09 Maret 2026
Israel Ancam Kejar Semua Penerus Pemimpin Tertinggi Iran,CNN,https://www.cnnindonesia.com/internasional/20260308150032-120-1335608/israel-ancam-kejar-semua-penerus-pemimpin-tertinggi-iran,09 Maret 2026
